OBJECTID;NUMERO;IMMEUBLE;DESIGNATION;DENOMINATION;COMPLEMENT;ALTITUDE;ANNEE;X;Y;TYP;geo_shape;geo_point_2d
19725;rn70512;#;Impasse du;TERTRE;Face au n°1;124.706;1988;600264.669;131821.643;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.340132947029705, 48.886830576721074]}";48.8868305767,2.34013294703
19730;rn44090;28;Rue;TITON;#;40.837;1985;603659.878;127998.98;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.386397573650528, 48.85244346509678]}";48.8524434651,2.38639757365
19750;rn66117;158;Rue de;COURCELLES;#;36.172;1993;597274.711;131402.423;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.299363231648772, 48.8830546757695]}";48.8830546758,2.29936323165
19758;rn80231;#;Rue des;ORMEAUX;Face au n°11 près du square;54.593;1988;604646.306;127826.581;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.399837744645424, 48.85088645609757]}";48.8508864561,2.39983774465
19762;rn93135;#;Avenue du;PRESIDENT WILSON;93-SAINT-DENIS_ Face au n°28Bis;39.601;1988;601650.0;133520.0;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.359030785398021, 48.902101313044604]}";48.902101313,2.3590307854
19793;rn70176;100;Rue;MYRHA;#;73.741;1988;600838.461;131774.427;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.347957369357072, 48.88640545476419]}";48.8864054548,2.34795736936
19859;rn69226;#;Rue;HENRI HUCHARD;Hôpital Bichat_ Sur l'aile nord-est du pavillon Médecine 1;45.3;1988;599730.0;133170.0;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.3328409170635602, 48.898956019914124]}";48.8989560199,2.33284091706
19864;rn69094;17;Rue des;ABBESSES;Sur l'église Saint-Jean de Montmartre;81.308;1988;600125.86;131537.918;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.338240014241958, 48.884279154019495]}";48.884279154,2.33824001424
19880;rn61226;114Bis;Avenue de;VERSAILLES;#;32.694;1994;595076.742;126995.86;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.2694466904001382, 48.843413821343006]}";48.8434138213,2.2694466904
19905;rn67038;2;Rue;TRUFFAUT;#;55.719;2006;599044.518;131541.208;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.3234950398075043, 48.88430801939634]}";48.8843080194,2.32349503981
19919;rn63013;5;Rue de l';AMIRAL COURBET;Face à la rue du Général Clergerie;55.647;1994;596059.92;129864.875;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.282814034294331, 48.86922127157441]}";48.8692212716,2.28281403429
19948;rn64030;37;Avenue;MARCEAU;A l'angle de la rue de Chaillot;48.968;1994;597229.824;129743.94;ENSERVICE;"{""type"": ""Point"", ""coordinates"": [2.298762642029005, 48.86814014906203]}";48.8681401491,2.29876264203
