,OBJECTID,NUMERO,IMMEUBLE,DESIGNATION,DENOMINATION,COMPLEMENT,ALTITUDE,ANNEE,X,Y,TYP,geo_shape,geo_point_2d,lat,long
1456,14377,rn01071,4,Boulevard du,PALAIS,A droite de l'accès à la Sainte-Chapelle_,34.446999999999996,1990,600649.7270000001,128288.296,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.345378439427871, 48.855055782730254]}","48.8550557827,2.34537843943",48.8550557827,2.34537843943
1457,14390,rn35021,1,Rue de,PROVENCE,repère type Bourdaloue en dessous du type  console,32.574,1985,600410.991,130394.38900000001,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.3421269448447353, 48.873995555871716]}","48.8739955559,2.34212694484",48.8739955559,2.34212694484
1458,14392,rn01032,17,Rue,BERTIN POIREE,Face à la rue des Deux Boules_,36.841,1995,600621.988,128756.21699999999,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.345001095288675, 48.85926370664437]}","48.8592637066,2.34500109529",48.8592637066,2.34500109529
1459,14426,rn48070,11,Rue,BISCORNET,#,37.024,1984,602432.623,127784.725,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.369672406891154, 48.85052281447486]}","48.8505228145,2.36967240689",48.8505228145,2.36967240689
1460,14435,rn76107,1,Square,BOLIVAR,#,85.277,1992,603377.465,130558.019,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.382570181543111, 48.87545787045081]}","48.8754578705,2.38257018154",48.8754578705,2.38257018154
1461,14447,rn57116,64,Rue,MADEMOISELLE,#,33.81,1984,597379.84,126958.955,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.30082578069725, 48.8430961425582]}","48.8430961426,2.3008257807",48.8430961426,2.3008257807
1462,14464,rn66219,15,Rue,VERNIQUET,#,37.44,1993,597412.236,131945.104,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.301234940056511, 48.88793546447001]}","48.8879354645,2.30123494006",48.8879354645,2.30123494006
1463,14494,rn29505,#,Place de la,CONCORDE,Sur le pont de la concorde côté aval,35.722,2018,598775.233,129291.93199999999,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.319830103615839, 48.86408036654771]}","48.8640803665,2.31983010362",48.8640803665,2.31983010362
1464,14548,rn33028,16,Rue de,NAVARIN,#,51.341,1985,600158.42,131034.498,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.338683842770656, 48.87975201486057]}","48.8797520149,2.33868384277",48.8797520149,2.33868384277
1465,14576,rn56061,6,Rue,FURTADO HEINE,#,62.369,1982,598724.675,125502.334,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.319153210567566, 48.830001373159284]}","48.8300013732,2.31915321057",48.8300013732,2.31915321057
1466,14613,rn02057,4,Rue des,DECHARGEURS,#,36.211,1995,600693.009,128793.024,ENSERVICE,"{""type"": ""Point"", ""coordinates"": [2.34596909543927, 48.85959462669828]}","48.8595946267,2.34596909544",48.8595946267,2.34596909544
