,nodeid,latitude,longitude
599,14803165,48.8633648,2.2402603
600,14803174,48.8610854,2.2439896
601,14803176,48.8603699,2.2460698
602,14950166,48.8496144,2.3742867
603,14950168,48.8483496,2.3760104
604,14950169,48.8464578,2.3789541
605,14950170,48.8418787,2.3865706
606,14950171,48.8389898,2.3892225
607,14950172,48.8411563,2.3873751
608,14950175,48.8441565,2.3842491
609,14950176,48.8426521,2.3858998
610,14950238,48.8362214,2.4029174
611,14956508,48.8365305,2.3720777
612,14956512,48.8348853,2.3739199
613,14956513,48.8317936,2.3766107
614,14956514,48.8373662,2.3738604
615,14956515,48.8356807,2.3753779
616,14956516,48.8314623,2.3759776
617,14956517,48.8310639,2.377532
618,14956518,48.8350144,2.3726215
619,14956519,48.830483,2.3765852
620,14956520,48.8359295,2.3728433
621,14956521,48.8343479,2.3729368
622,14956522,48.8360074,2.3713553
623,14956524,48.8313818,2.3757348
624,14956525,48.8283985,2.3785514
625,14956526,48.828501,2.3787955
626,14956527,48.8280661,2.3777767
627,14956529,48.8290817,2.3779076
628,14956530,48.8291755,2.3781548
629,14956531,48.827984,2.3792978
630,14956532,48.8352923,2.38535
631,14956533,48.8363194,2.3850482
632,14956534,48.837203,2.3835434
633,14956535,48.8380367,2.3819774
634,14956536,48.8385963,2.3811933
635,14956537,48.8359053,2.3864726
636,14956538,48.8399472,2.3823697
637,14956542,48.8359959,2.3844704
638,14956543,48.8345784,2.3862117
639,14956544,48.8340706,2.3870044
640,14956545,48.8351891,2.3873395
641,14956546,48.8347399,2.3879034
642,14956547,48.8338856,2.3889828
643,14956548,48.8330601,2.3874465
644,14956550,48.8329668,2.3900854
645,14956551,48.8329753,2.3903301
646,14956555,48.832878,2.3902588
647,14956567,48.8510306,2.377185
648,14956569,48.85004,2.376537
649,14956570,48.8497714,2.3770055
650,15032388,48.819519,2.3740256
651,15032393,48.8199421,2.3724585
652,15032394,48.8204253,2.3726103
653,15032400,48.8204954,2.3725686
654,15032401,48.8207002,2.373619
655,15032402,48.8207657,2.3735818
656,15032404,48.8209365,2.3734848
657,15032405,48.8205716,2.373692
658,15032421,48.8199898,2.3756058
659,15033822,48.8211037,2.3787269
660,15035501,48.8210182,2.3756003
661,15035503,48.8220999,2.3749533
